ProlificID,cohort,consent,gender,age,training1_success,training1_time,training1_dist_C,training1_dist_E,training1_dist_F,training1_dist_L,training1_dist_M,training1_dist_N,training1_dist_O,training1_dist_T,training1_sum_distance,training2_success,training2_time,training2_dist_C,training2_dist_E,training2_dist_F,training2_dist_L,training2_dist_M,training2_dist_N,training2_dist_O,training2_dist_T,training2_sum_distance,training3_success,training3_time,training3_dist_C,training3_dist_E,training3_dist_F,training3_dist_L,training3_dist_M,training3_dist_N,training3_dist_O,training3_dist_T,training3_sum_distance,training4_success,training4_time,training4_dist_C,training4_dist_E,training4_dist_F,training4_dist_L,training4_dist_M,training4_dist_N,training4_dist_O,training4_dist_T,training4_sum_distance,training_sum_success,game1_success,game1_time,game1_sum_identified,game1_success_rate,game1_dist_C,game1_dist_E,game1_dist_F,game1_dist_L,game1_dist_M,game1_dist_N,game1_dist_O,game1_dist_T,game1_sum_distance,game1_ca_agreed,game2_success,game2_time,game2_sum_identified,game2_success_rate,game2_dist_C,game2_dist_E,game2_dist_F,game2_dist_L,game2_dist_M,game2_dist_N,game2_dist_O,game2_dist_T,game2_sum_distance,game2_ca_agreed,game3_success,game3_time,game3_sum_identified,game3_success_rate,game3_dist_C,game3_dist_E,game3_dist_F,game3_dist_L,game3_dist_M,game3_dist_N,game3_dist_O,game3_dist_T,game3_sum_distance,game3_ca_agreed,game4_success,game4_time,game4_sum_identified,game4_success_rate,game4_dist_C,game4_dist_E,game4_dist_F,game4_dist_L,game4_dist_M,game4_dist_N,game4_dist_O,game4_dist_T,game4_sum_distance,game4_ca_agreed,game5_success,game5_time,game5_sum_identified,game5_success_rate,game5_dist_C,game5_dist_E,game5_dist_F,game5_dist_L,game5_dist_M,game5_dist_N,game5_dist_O,game5_dist_T,game5_sum_distance,game5_ca_agreed,game6_success,game6_time,game6_sum_identified,game6_success_rate,game6_dist_C,game6_dist_E,game6_dist_F,game6_dist_L,game6_dist_M,game6_dist_N,game6_dist_O,game6_dist_T,game6_sum_distance,game6_ca_agreed,game7_success,game7_time,game7_sum_identified,game7_success_rate,game7_dist_C,game7_dist_E,game7_dist_F,game7_dist_L,game7_dist_M,game7_dist_N,game7_dist_O,game7_dist_T,game7_sum_distance,game7_ca_agreed,game8_success,game8_time,game8_sum_identified,game8_success_rate,game8_dist_C,game8_dist_E,game8_dist_F,game8_dist_L,game8_dist_M,game8_dist_N,game8_dist_O,game8_dist_T,game8_sum_distance,game8_ca_agreed,game9_success,game9_time,game9_sum_identified,game9_success_rate,game9_dist_C,game9_dist_E,game9_dist_F,game9_dist_L,game9_dist_M,game9_dist_N,game9_dist_O,game9_dist_T,game9_sum_distance,game9_ca_agreed,game10_success,game10_time,game10_sum_identified,game10_success_rate,game10_dist_C,game10_dist_E,game10_dist_F,game10_dist_L,game10_dist_M,game10_dist_N,game10_dist_O,game10_dist_T,game10_sum_distance,game10_ca_agreed,game_sum_success_total,total_time,average_game_time,game_sum_ca_agreed_total,game_sum_agreed_ca_right,game_sum_agreed_ca_wrong,game_sum_disagreed_ca_right,game_sum_disagreed_ca_wrong_success,game_sum_disagreed_ca_wrong_failure,avg_task_load,avg_trust,avg_explanation
5ed13665155bb605de4ab8c1,5,Yes,Female,23,TRUE,32.35,0,0,0,0,0,0,0,0,0,TRUE,52.54,0,0,0,0,0,0,0,0,0,TRUE,30.41,0,0,0,0,0,0,0,0,0,TRUE,35.1,0,0,0,0,0,0,0,0,0,4,FALSE,34.43,7,6,0,0,0,1,0,0,0,1,2,TRUE,FALSE,50.73,9,5,1,4,0,0,0,0,5,0,10,FALSE,TRUE,33.03,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,37.1,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,68.96,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,36.26,7,6,0,0,1,1,0,0,0,0,2,FALSE,FALSE,98.36,8,5,0,0,0,1,1,0,0,1,3,FALSE,FALSE,35.31,6,6,0,0,2,1,0,0,0,0,3,FALSE,FALSE,57.58,8,7,0,0,1,0,0,0,0,0,1,FALSE,TRUE,36.87,9,8,0,0,0,0,0,0,0,0,0,TRUE,4,1196,48.863,2,1,1,3,3,2,10.8,2.375,5
5efdf3f5ce481828f9bb33a3,5,Yes,Non-binary,18,FALSE,73.9,0,0,0,0,0,0,0,1,1,FALSE,47.17,0,0,0,1,0,0,0,1,2,TRUE,28.63,0,0,0,0,0,0,0,0,0,TRUE,42.88,0,0,0,0,0,0,0,0,0,2,FALSE,41.68,7,6,0,0,0,0,0,1,0,1,2,FALSE,FALSE,40.35,8,4,1,4,3,0,0,0,1,0,9,FALSE,FALSE,80.35,7,6,0,1,0,0,0,0,0,1,2,FALSE,TRUE,38.54,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,126.4,9,6,0,0,0,1,0,0,0,1,2,FALSE,FALSE,79.24,8,7,0,0,0,1,0,0,0,0,1,FALSE,FALSE,64.7,8,7,0,0,0,0,1,0,0,0,1,FALSE,FALSE,37.39,7,6,0,0,1,1,0,0,0,0,2,FALSE,TRUE,96.93,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,33.65,9,8,0,0,0,0,0,0,0,0,0,TRUE,3,1359,63.923,2,2,0,2,1,5,12.2,2.75,3
5b01647dc66dc6000197d6ea,5,Yes,Female,26,TRUE,49.83,0,0,0,0,0,0,0,0,0,TRUE,45.32,0,0,0,0,0,0,0,0,0,TRUE,71.89,0,0,0,0,0,0,0,0,0,TRUE,62.12,0,0,0,0,0,0,0,0,0,4,FALSE,51.53,8,7,0,0,0,0,0,0,0,1,1,FALSE,FALSE,30.08,6,5,1,0,0,0,0,0,1,1,3,FALSE,FALSE,55.34,8,7,0,0,0,0,1,0,0,0,1,FALSE,TRUE,40.57,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,82.11,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,52.47,7,6,0,0,0,1,0,0,1,0,2,FALSE,FALSE,61.29,8,7,0,0,0,0,1,0,0,0,1,FALSE,FALSE,56.55,8,5,0,0,2,1,0,0,2,0,5,FALSE,FALSE,81.37,6,3,1,0,0,1,1,0,1,1,5,FALSE,FALSE,51.51,8,7,0,0,0,0,1,0,0,0,1,FALSE,2,1352,56.282,0,0,0,4,2,4,11.4,2.75,4.5
5e3f867091be661d53bd43df,5,Yes,Male,19,TRUE,33,0,0,0,0,0,0,0,0,0,TRUE,29.59,0,0,0,0,0,0,0,0,0,TRUE,50.25,0,0,0,0,0,0,0,0,0,TRUE,36.13,0,0,0,0,0,0,0,0,0,4,FALSE,76.05,8,7,0,0,0,0,0,1,0,0,1,FALSE,FALSE,37.08,9,6,1,0,0,0,0,0,1,0,2,FALSE,TRUE,32.68,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,44.1,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,105.15,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,57.92,8,7,0,1,0,0,0,0,0,0,1,FALSE,TRUE,87.56,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,69.97,7,5,2,0,2,0,0,0,2,0,6,FALSE,FALSE,98.67,8,5,1,0,0,1,0,0,1,0,3,FALSE,FALSE,62.14,8,7,0,0,0,0,1,0,0,0,1,FALSE,4,1469,67.132,1,1,0,3,3,3,9.8,2.125,4.25
5b152b1df796df0001d0e81a,5,Yes,Female,31,TRUE,59.06,0,0,0,0,0,0,0,0,0,TRUE,49.64,0,0,0,0,0,0,0,0,0,TRUE,75.59,0,0,0,0,0,0,0,0,0,TRUE,47.77,0,0,0,0,0,0,0,0,0,4,FALSE,44.67,5,4,0,0,0,1,1,1,0,1,4,FALSE,FALSE,23.19,7,6,1,0,0,0,0,0,1,0,2,TRUE,FALSE,35.6,8,7,0,1,0,0,0,0,0,0,1,FALSE,TRUE,41.65,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,43.34,7,4,2,1,0,0,1,0,2,0,6,FALSE,FALSE,67.82,6,5,0,0,0,1,0,1,1,0,3,FALSE,FALSE,57.57,5,4,0,1,0,1,1,0,0,1,4,FALSE,FALSE,30.34,5,5,1,0,2,1,0,0,0,0,4,FALSE,FALSE,100.24,5,4,1,0,1,1,0,0,0,1,4,FALSE,FALSE,64.13,7,7,0,0,0,0,2,0,0,0,2,FALSE,1,1433,50.855,1,0,1,4,1,4,14.2,2.5,3.25
5e8654505276a10fe5e2633b,5,Yes,Female,28,FALSE,18.6,0,0,0,0,0,0,0,1,1,TRUE,49.09,0,0,0,0,0,0,0,0,0,TRUE,56.77,0,0,0,0,0,0,0,0,0,TRUE,31.62,0,0,0,0,0,0,0,0,0,3,FALSE,40.97,7,6,0,0,0,1,0,0,0,1,2,TRUE,FALSE,74.78,6,5,1,0,0,0,0,0,1,1,3,FALSE,TRUE,69.37,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,84.56,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,117.95,9,6,1,0,0,0,0,0,1,0,2,FALSE,FALSE,101.06,8,7,0,0,0,1,0,0,0,0,1,FALSE,TRUE,81.55,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,152.56,6,4,1,0,2,1,0,0,1,0,5,FALSE,FALSE,165.49,9,6,1,0,0,0,0,0,1,0,2,FALSE,TRUE,142.23,9,8,0,0,0,0,0,0,0,0,0,TRUE,4,1702,103.052,3,2,1,2,2,3,9.8,2.25,2.625
5f1592e40e065a0563e69b6c,5,Yes,Female,27,TRUE,110.92,0,0,0,0,0,0,0,0,0,TRUE,42.23,0,0,0,0,0,0,0,0,0,TRUE,43.5,0,0,0,0,0,0,0,0,0,TRUE,64.25,0,0,0,0,0,0,0,0,0,4,FALSE,45.79,7,6,0,0,0,1,0,0,0,1,2,TRUE,FALSE,103.78,6,5,1,0,0,0,0,0,1,1,3,FALSE,TRUE,47.72,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,87.86,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,168.65,8,7,0,1,0,0,0,0,0,0,1,FALSE,FALSE,88.59,8,7,0,0,0,1,0,0,0,0,1,FALSE,FALSE,102.58,9,6,0,1,1,0,0,0,0,0,2,FALSE,FALSE,67.2,5,3,2,1,2,1,0,0,2,0,8,FALSE,FALSE,110.86,5,2,1,1,1,1,0,0,1,1,6,FALSE,FALSE,112.66,7,6,0,0,0,0,1,1,0,0,2,FALSE,2,1750,93.569,1,0,1,4,2,3,10,2.875,3.125
5ea9655dec2b5304a2aad732,5,Yes,Male,24,TRUE,52.72,0,0,0,0,0,0,0,0,0,TRUE,44.29,0,0,0,0,0,0,0,0,0,TRUE,36.01,0,0,0,0,0,0,0,0,0,TRUE,92.99,0,0,0,0,0,0,0,0,0,4,FALSE,84.36,8,7,0,0,0,0,0,0,0,1,1,FALSE,FALSE,82.49,9,6,1,0,0,0,0,0,1,0,2,FALSE,TRUE,162.16,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,80.68,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,125.55,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,114.03,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,135.74,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,168.96,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,110.32,8,7,0,0,1,0,0,0,0,0,1,FALSE,TRUE,91.81,9,8,0,0,0,0,0,0,0,0,0,TRUE,7,2027,115.61,3,3,0,1,4,2,10.6,3.625,5
5f3cf75f2982e903fb34b9f6,5,Yes,Female,20,FALSE,14.66,0,0,0,0,0,0,0,1,1,TRUE,55.51,0,0,0,0,0,0,0,0,0,TRUE,36.22,0,0,0,0,0,0,0,0,0,TRUE,34.57,0,0,0,0,0,0,0,0,0,3,FALSE,44.63,6,5,0,0,0,1,0,1,0,1,3,FALSE,FALSE,36.13,7,6,1,0,0,0,0,0,1,0,2,TRUE,TRUE,38.2,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,22.29,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,101.27,9,6,1,0,0,0,0,0,1,0,2,FALSE,FALSE,57.19,8,7,0,0,0,1,0,0,0,0,1,FALSE,FALSE,76.68,8,7,0,1,0,0,0,0,0,0,1,FALSE,FALSE,61.53,7,7,0,0,2,0,0,0,0,0,2,FALSE,FALSE,54.14,7,4,1,0,1,0,0,0,1,1,4,FALSE,TRUE,53.6,9,8,0,0,0,0,0,0,0,0,0,TRUE,3,1164,54.566,2,1,1,3,2,3,7,3.5,4.375
5eb37467d4803616ef0797f4,5,Yes,Male,19,TRUE,196.31,0,0,0,0,0,0,0,0,0,TRUE,215.86,0,0,0,0,0,0,0,0,0,TRUE,174.82,0,0,0,0,0,0,0,0,0,TRUE,184.66,0,0,0,0,0,0,0,0,0,4,FALSE,44.9,7,6,0,0,0,1,0,0,0,1,2,TRUE,FALSE,94.09,7,6,1,0,0,0,0,0,0,1,2,FALSE,FALSE,117.44,8,7,0,0,0,0,0,0,1,0,1,FALSE,FALSE,115.08,8,7,0,0,0,1,0,0,0,0,1,FALSE,FALSE,176.39,9,6,1,0,0,0,0,0,1,0,2,FALSE,FALSE,159.32,8,7,0,0,0,1,0,0,0,0,1,FALSE,TRUE,136.85,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,95.67,3,5,3,0,2,1,0,0,0,0,6,FALSE,FALSE,164.12,5,2,1,0,1,1,1,0,1,1,6,FALSE,FALSE,67.5,9,6,0,0,1,1,0,0,0,0,2,FALSE,1,2893,117.136,2,1,1,3,0,5,13.6,2.375,3.125
5ee8c4c255e8051e08c29861,5,Yes,Male,25,FALSE,7.12,0,0,0,0,0,0,0,1,1,FALSE,29.19,0,0,0,0,0,0,0,1,1,FALSE,10.04,1,0,0,0,0,0,0,0,1,TRUE,16.54,0,0,0,0,0,0,0,0,0,1,FALSE,25.87,8,7,0,0,0,0,0,0,0,1,1,FALSE,FALSE,25.91,8,7,1,0,0,0,0,0,0,0,1,FALSE,FALSE,57.26,10,7,0,0,1,0,0,0,0,0,1,FALSE,TRUE,28.08,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,35.27,7,6,0,1,0,1,0,0,0,0,2,FALSE,FALSE,42.14,6,6,0,2,1,0,0,0,0,0,3,FALSE,TRUE,48.68,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,37.37,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,30.85,7,6,0,0,0,0,0,0,1,1,2,FALSE,TRUE,34.25,9,8,0,0,0,0,0,0,0,0,0,TRUE,4,650,36.568,3,3,0,1,1,5,10.6,3,3
5ed4fa5969acac03603380a0,5,Yes,Female,33,FALSE,11.44,0,0,0,0,0,0,0,1,1,TRUE,16.44,0,0,0,0,0,0,0,0,0,FALSE,30.15,1,0,0,0,0,0,0,0,1,TRUE,29.22,0,0,0,0,0,0,0,0,0,2,FALSE,15.32,7,4,0,0,0,1,1,1,0,1,4,FALSE,FALSE,23.7,8,7,1,0,0,0,0,0,0,0,1,FALSE,FALSE,21.82,8,7,0,0,0,0,0,0,0,1,1,FALSE,TRUE,20.56,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,45.56,8,3,2,0,0,1,1,0,2,1,7,FALSE,FALSE,24.48,8,6,0,0,1,0,0,2,0,0,3,FALSE,FALSE,57.62,9,6,0,0,0,0,1,0,0,1,2,FALSE,TRUE,20.98,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,31.48,8,5,0,0,1,0,1,1,0,0,3,FALSE,FALSE,40.74,8,5,0,1,0,0,1,1,0,0,3,FALSE,2,704,30.226,1,1,0,3,1,5,14,1.875,3.625
5f11a5888f681003ccf1d378,5,Yes,Male,38,TRUE,33.8,0,0,0,0,0,0,0,0,0,TRUE,77.6,0,0,0,0,0,0,0,0,0,TRUE,29.54,0,0,0,0,0,0,0,0,0,TRUE,49.41,0,0,0,0,0,0,0,0,0,4,FALSE,40.42,8,7,0,0,0,0,0,0,0,1,1,FALSE,FALSE,35.96,8,7,1,0,0,0,0,0,0,0,1,FALSE,TRUE,75.08,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,37.58,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,59.98,9,6,0,1,1,0,0,0,0,0,2,FALSE,TRUE,59.81,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,65.34,8,7,0,0,0,0,1,0,0,0,1,FALSE,FALSE,40.03,8,7,0,0,0,1,0,0,0,0,1,FALSE,FALSE,63.42,6,5,1,0,1,0,1,0,0,0,3,FALSE,FALSE,48.73,8,7,0,0,0,0,1,0,0,0,1,FALSE,3,1240,52.635,0,0,0,4,3,3,9.8,2.875,4.5
5eb41fcb3a7a1724207bbfd6,5,Yes,Female,38,TRUE,33.49,0,0,0,0,0,0,0,0,0,FALSE,111.57,0,1,1,0,0,0,0,0,2,TRUE,76.75,0,0,0,0,0,0,0,0,0,TRUE,84.99,0,0,0,0,0,0,0,0,0,3,FALSE,104.59,8,7,0,0,0,0,0,0,0,1,1,FALSE,FALSE,58.76,8,7,1,0,0,0,0,0,0,0,1,FALSE,TRUE,114.67,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,73.95,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,88.71,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,86.92,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,185.34,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,125.63,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,119.79,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,104.58,9,8,0,0,0,0,0,0,0,0,0,TRUE,8,1886,106.294,4,4,0,0,4,2,9.4,4.25,2.25
5e17061ce80b8e000b364915,5,Yes,Female,36,TRUE,33.67,0,0,0,0,0,0,0,0,0,TRUE,37.58,0,0,0,0,0,0,0,0,0,FALSE,43.74,1,0,0,0,0,0,0,0,1,TRUE,43.89,0,0,0,0,0,0,0,0,0,3,FALSE,240.14,0,2,1,0,0,1,2,3,1,1,9,FALSE,TRUE,54.58,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,79.44,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,240.02,0,4,0,0,0,1,2,4,2,0,9,FALSE,FALSE,109.29,10,7,0,0,1,0,0,0,0,0,1,FALSE,FALSE,240.09,10,7,1,0,0,0,0,0,0,0,1,TRUE,FALSE,119.64,2,2,0,1,1,1,2,1,0,1,7,FALSE,TRUE,66.53,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,124.39,8,7,0,0,0,0,0,1,0,0,1,FALSE,FALSE,240.09,0,3,0,1,0,2,2,3,0,1,9,FALSE,3,2184,151.421,2,1,1,3,2,3,13.6,3.125,4.125
5694de04e0c800000559f70b,5,Yes,Female,47,FALSE,26.47,0,0,0,0,0,0,0,1,1,FALSE,85.5,0,0,0,1,0,0,0,1,2,TRUE,42.77,0,0,0,0,0,0,0,0,0,FALSE,84.12,0,0,0,1,0,0,0,0,1,1,TRUE,99.26,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,91.41,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,87.93,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,89.32,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,204.38,10,7,0,1,0,0,0,0,0,0,1,FALSE,TRUE,214.46,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,187.38,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,85.04,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,178.03,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,110.31,9,8,0,0,0,0,0,0,0,0,0,TRUE,9,2329,134.752,4,4,0,0,5,1,16.2,3.5,4.5
5e72c398c88a68220fb7ba95,5,Yes,Male,51,TRUE,68,0,0,0,0,0,0,0,0,0,TRUE,215.7,0,0,0,0,0,0,0,0,0,TRUE,34.4,0,0,0,0,0,0,0,0,0,TRUE,65.42,0,0,0,0,0,0,0,0,0,4,TRUE,111.36,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,104.38,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,94.61,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,83.44,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,143.1,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,165.77,8,7,0,0,0,0,0,1,0,0,1,FALSE,FALSE,137.6,6,5,0,0,0,1,1,1,0,0,3,FALSE,TRUE,147.11,9,8,0,0,0,0,0,0,0,0,0,TRUE,FALSE,129.79,7,6,0,0,1,0,1,0,0,0,2,FALSE,FALSE,149.35,6,5,0,0,0,1,1,1,0,0,3,FALSE,6,2322,126.651,1,1,0,3,5,1,11.4,2.75,3.75
5cdebc5cc07328001a4bfd93,5,Yes,Female,37,TRUE,59.98,0,0,0,0,0,0,0,0,0,FALSE,94.37,0,0,0,1,0,0,0,1,2,TRUE,129.28,0,0,0,0,0,0,0,0,0,TRUE,67.73,0,0,0,0,0,0,0,0,0,3,TRUE,138.37,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,109.47,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,128.88,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,132.69,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,157.78,11,6,1,0,0,0,0,0,1,0,2,FALSE,TRUE,165.17,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,197.6,9,6,0,0,0,0,1,0,0,1,2,FALSE,TRUE,115.38,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,162,9,8,0,0,0,0,0,0,0,0,0,TRUE,TRUE,196.52,9,8,0,0,0,0,0,0,0,0,0,TRUE,8,2283,150.386,3,3,0,1,5,1,9.8,1.625,4.125
5ece9e3b3a19db0cf5af6692,5,Yes,Male,38,FALSE,136.42,0,0,0,0,0,0,0,1,1,TRUE,65.89,0,0,0,0,0,0,0,0,0,TRUE,34.67,0,0,0,0,0,0,0,0,0,TRUE,100.76,0,0,0,0,0,0,0,0,0,3,FALSE,89.46,7,6,0,0,0,1,0,0,0,1,2,TRUE,TRUE,184.17,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,163.96,9,4,1,1,1,0,0,0,1,0,4,TRUE,TRUE,100.22,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,146.9,9,8,0,0,0,0,0,0,0,0,0,FALSE,TRUE,130.42,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,139.43,8,7,0,0,0,0,0,0,0,1,1,FALSE,FALSE,125.63,8,7,0,0,0,1,0,0,0,0,1,FALSE,FALSE,168.56,8,7,0,0,1,0,0,0,0,0,1,FALSE,TRUE,175.97,9,8,0,0,0,0,0,0,0,0,0,TRUE,5,2526,142.472,3,1,2,3,4,0,15.4,3.375,4
5ea06e96287a9d024d3fdb5b,5,Yes,Female,62,TRUE,82.15,0,0,0,0,0,0,0,0,0,TRUE,74.35,0,0,0,0,0,0,0,0,0,TRUE,68.55,0,0,0,0,0,0,0,0,0,TRUE,142.64,0,0,0,0,0,0,0,0,0,4,TRUE,146.15,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,132.7,7,6,1,1,0,0,0,0,0,0,2,FALSE,FALSE,124.54,7,4,0,1,1,0,0,0,1,1,4,FALSE,TRUE,124.73,9,8,0,0,0,0,0,0,0,0,0,FALSE,FALSE,211.04,10,7,0,0,0,0,0,0,0,1,1,TRUE,FALSE,177.49,6,5,0,1,1,0,0,0,0,1,3,FALSE,FALSE,167.24,8,7,0,0,0,0,1,0,0,0,1,FALSE,FALSE,137.21,7,6,1,0,1,0,0,0,0,0,2,FALSE,FALSE,162.63,7,6,0,0,1,0,1,0,0,0,2,FALSE,FALSE,144.36,8,7,0,0,0,1,0,0,0,0,1,FALSE,2,2743,152.809,1,0,1,4,2,3,11.8,2.5,3.375
